RES,CB506,USBAL,ARCA15000635,KFZ0062363,1HGCM72687A016030,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,KFZ0062363,1HGCM72687A016030,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,KFZ0062363,1HGCM72687A016030,VA,3/24/2015 7:24:00 PM
COG,CB505,USBAL,ARCA15000524,JP50060807,WBSKG9C51BE369318,VA,3/12/2015 5:30:00 AM
COG,CB505,USBAL,ARCA15000524,JP50060807,WBSKG9C51BE369318,VA,3/12/2015 5:30:00 AM
COG,CB505,USBAL,ARCA15000524,JP50060807,WBSKG9C51BE369318,VA,3/12/2015 5:30:00 AM
RES,CB506,USBAL,ARCA15000635,LAP0061222,3FADP4EJ1CM142497,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,LAP0061222,3FADP4EJ1CM142497,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,LAP0061222,3FADP4EJ1CM142497,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40064006,1FMEU6EE0AUA48458,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40064006,1FMEU6EE0AUA48458,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40064006,1FMEU6EE0AUA48458,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063571,2C3CDXHG1EH154509,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063571,2C3CDXHG1EH154509,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063571,2C3CDXHG1EH154509,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,LAY0062671,5UXZW0C57D0B93803,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,LAY0062671,5UXZW0C57D0B93803,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,LAY0062671,5UXZW0C57D0B93803,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP60063598,5J6TF1H5XBL004070,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP60063598,5J6TF1H5XBL004070,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP60063598,5J6TF1H5XBL004070,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063798,1G2ZF57B984116476,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063798,1G2ZF57B984116476,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP50063798,1G2ZF57B984116476,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40062910,1C3CDFBH6DD223749,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40062910,1C3CDFBH6DD223749,VA,3/24/2015 7:24:00 PM
RES,CB506,USBAL,ARCA15000635,JP40062910,1C3CDFBH6DD223749,VA,3/24/2015 7:24:00 PM
